"""leaveid"";""userName"";""department"";""dateofrequest"";""leave_type"";""leave_from"";""leave_to"";""days"";""reason"";""status"""
"3;""cse1001"";""CSE"";""2018-03-14"";""casual"";""2018-04-14"";""2018-04-15"";""2"";""dfghjkl"";""rejected"""
"4;""ece1001"";""ECE"";""2018-03-14"";""sick"";""2018-03-15"";""2018-03-16"";""2"";""jht"";""rejected"""
"5;""it1001"";""IT"";""2018-03-16"";""casual"";""2018-03-18"";""2018-03-19"";""2"";""dfghjkl"";""rejected"""
"6;""it1001"";""IT"";""2018-03-21"";""sick"";""2018-03-23"";""2018-03-25"";""3"";""dfsa"";""rejected"""
"7;""ece1001"";""ECE"";""2018-03-21"";""earned"";""2018-03-24"";""2018-03-24"";""1"";""dfsa"";""rejected"""
"8;""eee1001"";""EEE"";""2018-03-21"";""casual"";""2018-03-22"";""2018-03-22"";""1"";""dfghjkl"";""approved"""
"9;""cse1001"";""CSE"";""2018-03-25"";""casual"";""2018-03-27"";""2018-03-28"";""2"";""dfghjkl"";""rejected"""
"10;""cse1001"";;""2020-12-17"";""earned"";""2020-12-19"";""2020-12-21"";""3"";""qqqq"";""rejected"""
"11;""cse1001"";;""2020-12-19"";""earned"";""2020-12-21"";""2020-12-24"";""4"";""ytytrytr"";""rejected"""
"12;""cse1001"";;""2020-12-14"";""sick"";""2020-12-15"";""2020-12-18"";""4"";""t6u6ru"";""approved"""
